bloed	sangue
blauw	blu
kat	gatto
koffie	caffè
ei	uovo
vier	quattro
geslacht	pavimento
grijs	grigio
huis	casa
keuken	cucina
geld	soldi
moeder	madre
naam	nome
nacht	notte
manier	modo
straat	strada
temperatuur	temperatura
vrouw	moglie
jaar	anno
acteur	attore
augustus	agosto
auteur	autore
strijd	battaglia
bier	birra
boek	libro
kaas	formaggio
stad	città
klok	orologio
dochter	figlia
dag	giorno
vader	padre
februari	febbraio
vuur	fuoco
vijf	cinque
bloem	fiore
tuin	giardino
paard	cavallo
eiland	isola
januari	gennaio
juli	luglio
juni	giugno
liefde	amore
maart	marzo
vlees	carne
maand	mese
nieuws	notizia
oktober	ottobre
kantoor	ufficio
pakket	pacchetto
broek	pantaloni
rood	rosso
zus	sorella
winkel	negozio
zoon	figlio
tien	dieci
tekst	testo
bedankt	grazie
drie	tre
tand	dente
trein	treno
Universiteit	Università
dorp	villaggio
wijn	vino
