lucht	воздух
zwart	черный
bloed	кровь
blauw	синий
kat	кот
koffie	кофе
ei	яйцо
vier	четыре
geslacht	пол
grijs	серый
huis	дом
keuken	кухня
geld	деньги
moeder	мать
naam	имя
nacht	ночь
een	один
manier	дорога
straat	улица
temperatuur	температура
twee	два
vrouw	жена
jaar	год
acteur	актер
actrice	актриса
auteur	автор
bier	пиво
boek	книга
kaas	сыр
stad	город
klok	часы
dochter	дочь
dag	день
oog	глаз
vader	отец
vuur	огонь
vijf	пять
bloem	цветок
tuin	сад
eiland	остров
koning	король
liefde	любовь
vlees	мясо
maand	месяц
nieuws	Новости
kantoor	офис
pakket	упаковка
broek	брюки
rood	красный
zus	сестра
zes	шесть
winkel	магазин
zoon	сын
zomer	лето
zon	солнце
docent	учитель
tien	десять
tekst	текст
bedankt	Спасибо
drie	три
tand	зуб
trein	поезд
dorp	деревня
wijn	вино
