lucht	hava
fiets	bisiklet
zwart	siyah
blauw	mavi
kat	kedi
koffie	kahve
vier	dört
vriend	arkadaş
grijs	gri
keuken	mutfak
geld	para
naam	isim
nacht	gece
een	bir
manier	yol
straat	sokak
twee	iki
woord	kelime
jaar	yıl
geel	sarı
augustus	Ağustos
auteur	yazar
strijd	savaş
bier	bira
boek	kitap
stad	şehir
klok	saat
dag	gün
oog	göz
februari	Şubat
vuur	ateş
vijf	beş
bloem	çiçek
januari	Ocak
juli	Temmuz
juni	Haziran
koning	kral
liefde	aşk
maart	Mart
oktober	Ekim
pakket	paket
broek	pantolon
rood	kırmızı
rechts	sağ
zes	altı
zomer	yaz
drie	üç
tand	diş
trein	tren
dorp	köy
